Id	MajorGroup	MinorGroup	DetailedOccupation	JobTitle_tokens	JobTitle_tokens_idx
0	31	31-10	31-1122	elderly caregiver	[946, 224]
1	43	43-60	43-6014	department assistant department	[83, 2, 83]
2	13	13-10	13-1111	data analyst	[45, 11]
3	13	13-10	13-1161	assistant business analyst	[2, 28, 11]
4	11	11-30	11-3031	treasurer	[316]
5	43	43-60	43-6014	secretary	[46]
6	11	11-90	11-9179	salon manager	[1186, 1]
7	11	11-30	11-3061	materials manager	[220, 1]
8	11	11-30	11-3061	purchasing manager	[86, 1]
9	13	13-10	13-1023	purchasing agent	[86, 49]
10	35	35-30	35-3031	restaurant server	[295, 65]
11	41	41-20	41-2011	cashier	[15]
12	41	41-30	41-3021	licensed agent	[136, 49]
13	11	11-10	11-1021	general manager	[32, 1]
14	41	41-20	41-2031	sales	[3]
15	13	13-10	13-1111	analyst consultant	[11, 21]
16	11	11-10	11-1011	owner ceo	[127, 206]
17	41	41-30	41-3031	senior customer financial services representative	[12, 5, 43, 47, 6]
18	43	43-40	43-4051	customer services representative	[5, 47, 6]
19	41	41-20	41-2031	sales copy center associate	[3, 802, 77, 9]
20	43	43-40	43-4081	desk clerk	[58, 13]
21	29	29-10	29-1141	rn floor nurse medical oncology	[137, 201, 30, 26, 636]
22	29	29-10	29-1141	registered nurse	[94, 30]
23	43	43-40	43-4051	customer service agent	[5, 4, 49]
24	13	13-20	13-2011	accountant	[36]
25	11	11-30	11-3061	staff account purchasing manager	[52, 29, 86, 1]
26	13	13-20	13-2011	staff accountant	[52, 36]
27	11	11-30	11-3031	internal auditor credit corporation director	[231, 102, 111, 947, 16]
28	51	51-90	51-9061	quality control inspector	[71, 97, 217]
29	51	51-10	51-1011	rotomolder dagger oven supervisor	[0, 0, 0, 18]
30	47	47-20	47-2073	certified heavy equipment operator	[74, 637, 303, 38]
31	53	53-30	53-3032	equipment operator truck driver	[303, 38, 89, 25]
32	11	11-10	11-1021	district manager	[87, 1]
33	11	11-10	11-1021	area general manager	[146, 32, 1]
34	11	11-10	11-1021	operations manager	[20, 1]
35	15	15-12	15-1232	sr helpdesk representative	[53, 254, 6]
36	43	43-40	43-4051	sr customer service representative	[53, 5, 4, 6]
37	15	15-12	15-1244	team network engineer	[75, 70, 22]
38	49	49-90	49-9071	maintenance mechanic	[72, 171]
39	13	13-10	13-1199	business specialist	[28, 7]
40	43	43-60	43-6014	administration assistant	[133, 2]
41	43	43-10	43-1011	office manager	[8, 1]
42	43	43-60	43-6014	administrative assistant	[10, 2]
43	11	11-10	11-1011	director	[16]
44	13	13-20	13-2041	lead cashier credit analyst	[37, 15, 111, 11]
45	11	11-90	11-9111	manager managed care contracting sheridan healthcare	[1, 529, 55, 948, 0, 489]
46	13	13-10	13-1199	contract negotiator	[80, 1187]
47	43	43-10	43-1011	office administrator	[8, 34]
48	53	53-70	53-7065	inventory specialist	[90, 7]
49	41	41-20	41-2031	sales associate	[3, 9]
50	53	53-70	53-7051	forklift driver	[128, 25]
