;Src;Dst;Weight
0;0;1;1
1;2;3;1
2;4;5;1
3;7;8;1
4;10;11;1
5;12;13;1
6;17;18;1
7;21;22;1
8;24;25;1
9;28;29;1
10;32;13;1
11;35;36;1
12;38;38;1
13;39;40;1
14;42;43;1
15;45;46;1
16;48;49;1
17;50;51;1
18;42;52;1
19;53;49;1
20;55;56;1
21;58;59;1
22;61;62;1
23;65;41;1
24;67;68;1
25;70;70;1
26;72;73;1
27;78;79;1
28;80;81;1
29;83;84;1
30;85;86;1
31;88;83;1
32;91;91;1
33;93;94;1
34;98;98;1
35;99;100;1
36;102;11;1
37;103;103;1
38;107;108;1
39;111;112;1
40;2;114;1
41;116;117;1
42;13;122;1
43;123;124;1
44;125;126;1
45;127;128;1
46;129;130;1
47;134;135;1
48;137;138;1
49;140;141;1
50;11;63;1
51;144;145;1
52;149;150;1
53;84;84;1
54;152;153;1
55;154;155;1
56;13;13;1
57;157;157;1
58;158;81;1
59;159;160;1
60;161;11;1
61;162;163;1
62;165;166;1
63;168;169;1
64;172;173;1
65;175;176;1
66;177;178;1
67;179;179;1
68;180;181;1
69;184;185;1
70;186;187;1
71;188;188;1
72;190;191;1
73;192;192;1
74;193;194;1
75;196;197;1
76;199;53;1
77;200;201;1
78;54;202;1
79;203;204;1
80;205;203;1
81;206;207;1
82;208;208;1
83;209;210;1
84;216;217;1
85;218;218;1
86;220;221;1
87;223;224;1
88;14;226;1
89;227;228;1
90;229;230;1
91;232;232;1
92;80;233;1
93;235;236;1
94;237;238;1
95;136;240;1
96;122;13;1
97;245;34;1
98;251;252;1
99;256;257;1
100;218;258;1
101;261;262;1
102;50;50;1
103;53;11;1
104;263;264;1
105;265;266;1
106;11;49;1
107;270;270;1
108;271;272;1
109;274;275;1
110;276;277;1
111;281;282;1
112;81;81;1
113;284;49;1
114;285;286;1
115;288;289;1
116;290;290;1
117;11;293;1
118;294;49;1
119;296;297;1
120;299;300;1
121;302;302;1
122;304;305;1
123;307;307;1
124;132;121;1
125;309;310;1
126;311;312;1
127;313;314;1
128;317;318;1
129;80;82;1
130;319;319;1
131;321;22;1
132;324;121;1
133;327;328;1
134;330;32;1
135;332;13;1
136;333;334;1
137;337;338;1
138;329;34;1
139;342;342;1
140;344;345;1
141;348;349;1
142;42;351;1
143;218;218;1
144;354;355;1
145;356;357;1
146;358;359;1
147;360;361;1
148;363;364;1
149;366;49;1
150;43;370;1
151;371;372;1
152;42;41;1
153;272;374;1
154;375;376;1
155;378;379;1
156;380;381;1
157;384;385;1
158;386;387;1
159;391;392;1
160;41;393;1
161;394;395;1
162;396;397;1
163;54;398;1
164;53;102;1
165;399;400;1
166;102;403;1
167;273;404;1
168;406;407;1
169;409;410;1
170;53;41;1
171;411;53;1
172;413;414;1
173;91;416;1
174;421;91;1
175;423;424;1
176;427;428;1
177;429;430;1
178;431;432;1
179;434;435;1
180;52;437;1
181;438;439;1
182;441;441;1
183;219;230;1
184;442;443;1
185;444;445;1
186;446;447;1
187;448;449;1
188;452;52;1
189;454;455;1
190;456;429;1
191;459;459;1
192;49;121;1
193;53;464;1
194;465;466;1
195;467;468;1
196;470;471;1
197;472;473;1
198;474;474;1
199;476;477;1
200;478;479;1
201;481;218;1
202;385;385;1
203;483;484;1
204;486;487;1
205;102;489;1
206;490;491;1
207;495;355;1
208;67;496;1
209;41;497;1
210;499;500;1
211;502;503;1
212;508;509;1
213;510;511;1
214;513;514;1
215;515;516;1
216;517;52;1
217;519;520;1
218;521;173;1
219;522;523;1
