Index;UserId;JobTitle;DetailedOccupation;MinorGroup;MajorGroup;JobTitle_token;JobTitle_token_Id
0;72;elderly caregiver;31-1122;31-10;31;elderly caregiver;[946, 224]
1;72;department assistant department;43-6014;43-60;43;department assistant department;[83, 2, 83]
2;131;data analyst;13-1111;13-10;13;data analyst;[45, 11]
3;131;assistant business analyst;13-1161;13-10;13;assistant business analyst;[2, 28, 11]
4;162;treasurer;11-3031;11-30;11;treasurer;[316]
5;162;secretary;43-6014;43-60;43;secretary;[46]
6;162;salon manager;11-9179;11-90;11;salon manager;[1186, 1]
7;178;materials manager;11-3061;11-30;11;materials manager;[220, 1]
8;178;purchasing manager;11-3061;11-30;11;purchasing manager;[86, 1]
9;178;purchasing agent;13-1023;13-10;13;purchasing agent;[86, 49]
10;178;purchasing agent;13-1023;13-10;13;purchasing agent;[86, 49]
11;344;restaurant server;35-3031;35-30;35;restaurant server;[295, 65]
12;344;cashier;41-2011;41-20;41;cashier;[15]
13;344;cashier;41-2011;41-20;41;cashier;[15]
14;395;licensed agent;41-3021;41-30;41;licensed agent;[136, 49]
15;395;general manager;11-1021;11-10;11;general manager;[32, 1]
16;395;sales;41-2031;41-20;41;sales;[3]
17;395;sales;41-2031;41-20;41;sales;[3]
18;395;analyst consultant;13-1111;13-10;13;analyst consultant;[11, 21]
19;395;owner ceo;11-1011;11-10;11;owner ceo;[127, 206]
20;415;senior customer financial services representative;41-3031;41-30;41;senior customer financial services representative;[12, 5, 43, 47, 6]
21;415;customer services representative;43-4051;43-40;43;customer services representative;[5, 47, 6]
22;415;sales copy center associate;41-2031;41-20;41;sales copy center associate;[3, 802, 77, 9]
23;415;desk clerk;43-4081;43-40;43;desk clerk;[58, 13]
24;437;rn floor nurse medical oncology;29-1141;29-10;29;rn floor nurse medical oncology;[137, 201, 30, 26, 636]
25;437;registered nurse;29-1141;29-10;29;registered nurse;[94, 30]
26;437;customer service agent;43-4051;43-40;43;customer service agent;[5, 4, 49]
27;483;accountant;13-2011;13-20;13;accountant;[36]
28;483;staff account purchasing manager;11-3061;11-30;11;staff account purchasing manager;[52, 29, 86, 1]
29;483;staff accountant;13-2011;13-20;13;staff accountant;[52, 36]
30;483;internal auditor credit corporation director;11-3031;11-30;11;internal auditor credit corporation director;[231, 102, 111, 947, 16]
31;496;quality control inspector;51-9061;51-90;51;quality control inspector;[71, 97, 217]
32;496;rotomolder dagger oven supervisor;51-1011;51-10;51;rotomolder dagger oven supervisor;[0, 0, 0, 18]
33;496;certified heavy equipment operator;47-2073;47-20;47;certified heavy equipment operator;[74, 637, 303, 38]
34;496;equipment operator truck driver;53-3032;53-30;53;equipment operator truck driver;[303, 38, 89, 25]
35;524;district manager;11-1021;11-10;11;district manager;[87, 1]
36;524;general manager;11-1021;11-10;11;general manager;[32, 1]
37;524;area general manager;11-1021;11-10;11;area general manager;[146, 32, 1]
38;524;operations manager;11-1021;11-10;11;operations manager;[20, 1]
39;534;sr helpdesk representative;15-1232;15-12;15;sr helpdesk representative;[53, 254, 6]
40;534;sr customer service representative;43-4051;43-40;43;sr customer service representative;[53, 5, 4, 6]
41;534;team network engineer;15-1244;15-12;15;team network engineer;[75, 70, 22]
42;547;maintenance mechanic;49-9071;49-90;49;maintenance mechanic;[72, 171]
43;547;maintenance mechanic;49-9071;49-90;49;maintenance mechanic;[72, 171]
44;553;business specialist;13-1199;13-10;13;business specialist;[28, 7]
45;553;administration assistant;43-6014;43-60;43;administration assistant;[133, 2]
46;553;office manager;43-1011;43-10;43;office manager;[8, 1]
47;589;administrative assistant;43-6014;43-60;43;administrative assistant;[10, 2]
48;589;director;11-1011;11-10;11;director;[16]
49;589;lead cashier credit analyst;13-2041;13-20;13;lead cashier credit analyst;[37, 15, 111, 11]
50;640;manager managed care contracting sheridan healthcare;11-9111;11-90;11;manager managed care contracting sheridan healthcare;[1, 529, 55, 948, 0, 489]
51;640;contract negotiator;13-1199;13-10;13;contract negotiator;[80, 1187]
52;640;office administrator;43-1011;43-10;43;office administrator;[8, 34]
53;644;inventory specialist;53-7065;53-70;53;inventory specialist;[90, 7]
54;644;sales associate;41-2031;41-20;41;sales associate;[3, 9]
55;645;forklift driver;53-7051;53-70;53;forklift driver;[128, 25]
56;645;lead coordinator;43-1011;43-10;43;lead coordinator;[37, 14]
57;655;administrative assistant;43-6014;43-60;43;administrative assistant;[10, 2]
58;655;receptionist;43-4171;43-40;43;receptionist;[27]
59;682;customer service representative;43-4051;43-40;43;customer service representative;[5, 4, 6]
60;682;sales associate;41-2031;41-20;41;sales associate;[3, 9]
61;682;supervisor;51-1011;51-10;51;supervisor;[18]
62;744;shipping clerk;43-5071;43-50;43;shipping clerk;[129, 13]
63;744;bartender server;35-3011;35-30;35;bartender server;[149, 65]
64;744;asst trainer groom farm manager;11-9013;11-90;11;asst trainer groom farm manager;[168, 110, 0, 0, 1]
65;744;inventory specialist;53-7065;53-70;53;inventory specialist;[90, 7]
66;755;senior software engineer project leader;15-1252;15-12;15;senior software engineer project leader;[12, 82, 22, 23, 109]
67;755;software engineer;15-1252;15-12;15;software engineer;[82, 22]
68;755;software consultant;15-1211;15-12;15;software consultant;[82, 21]
69;769;shoe fit specialist;41-2031;41-20;41;shoe fit specialist;[803, 0, 7]
70;769;wgci programming intern;15-1251;15-12;15;wgci programming intern;[0, 638, 91]
71;769;teller;43-3071;43-30;43;teller;[99]
72;769;head cashier;41-2011;41-20;41;head cashier;[191, 15]
73;861;building manager;11-9141;11-90;11;building manager;[377, 1]
74;861;office manager;43-1011;43-10;43;office manager;[8, 1]
75;861;bartender;35-3011;35-30;35;bartender;[149]
76;886;delivery driver;53-3033;53-30;53;delivery driver;[172, 25]
77;886;office manager chief financial officer;11-3031;11-30;11;office manager chief financial officer;[8, 1, 123, 43, 42]
78;886;victim witness assistance program;21-1093;21-10;21;victim witness assistance program;[804, 0, 308, 115]
79;908;customer experience associate;43-4051;43-40;43;customer experience associate;[5, 1188, 9]
80;908;customer experience associate;43-4051;43-40;43;customer experience associate;[5, 1188, 9]
81;908;professorial assistant;43-6014;43-60;43;professorial assistant;[1189, 2]
82;908;professorial assistant;43-6014;43-60;43;professorial assistant;[1189, 2]
83;966;patient care coordinator rn case manager;29-1141;29-10;29;patient care coordinator rn case manager;[98, 55, 14, 137, 114, 1]
84;966;rn med tele pcu;29-1141;29-10;29;rn med tele pcu;[137, 530, 716, 949]
85;966;private duty lpn rn;29-2061;29-20;29;private duty lpn rn;[402, 579, 140, 137]
86;966;private duty lpn;29-2061;29-20;29;private duty lpn;[402, 579, 140]
87;966;home health nurse lpn;29-2061;29-20;29;home health nurse lpn;[100, 73, 30, 140]
88;966;staff lpn;29-2061;29-20;29;staff lpn;[52, 140]
89;1031;senior loan officer;13-2072;13-20;13;senior loan officer;[12, 64, 42]
90;1031;personal trainer sales consultant;13-1151;13-10;13;personal trainer sales consultant;[130, 110, 3, 21]
91;1045;security guard;33-9032;33-90;33;security guard;[63, 165]
92;1045;truck driver;53-3032;53-30;53;truck driver;[89, 25]
93;1045;truck driver;53-3032;53-30;53;truck driver;[89, 25]
94;1045;driver;53-3032;53-30;53;driver;[25]
95;1113;assistant;43-6014;43-60;43;assistant;[2]
96;1113;waitress;35-3031;35-30;35;waitress;[178]
97;1138;pharmacy sales associate;41-2031;41-20;41;pharmacy sales associate;[142, 3, 9]
98;1138;order management customer service;43-1011;43-10;43;order management customer service;[185, 60, 5, 4]
99;1138;pickle line assistant manual laborer;51-9198;51-90;51;pickle line assistant manual laborer;[0, 218, 2, 1190, 121]
100;1192;marketing intern;13-1161;13-10;13;marketing intern;[35, 91]
101;1192;assistant;43-6014;43-60;43;assistant;[2]
102;1192;retail assistant;41-1011;41-10;41;retail assistant;[78, 2]
103;1192;data entry;43-9021;43-90;43;data entry;[45, 59]
104;1192;cashier;41-2011;41-20;41;cashier;[15]
105;1206;executive assistant;43-6011;43-60;43;executive assistant;[19, 2]
106;1206;executive assistant;43-6011;43-60;43;executive assistant;[19, 2]
