Index;UserId;JobTitle;DetailedOccupation;MinorGroup;MajorGroup
0;72;elderly caregiver;31-1122;31-10;31
1;72;department assistant department;43-6014;43-60;43
2;131;data analyst;13-1111;13-10;13
3;131;assistant business analyst;13-1161;13-10;13
4;162;treasurer;11-3031;11-30;11
5;162;secretary;43-6014;43-60;43
6;162;salon manager;11-9179;11-90;11
7;178;materials manager;11-3061;11-30;11
8;178;purchasing manager;11-3061;11-30;11
9;178;purchasing agent;13-1023;13-10;13
10;178;purchasing agent;13-1023;13-10;13
11;344;restaurant server;35-3031;35-30;35
12;344;cashier;41-2011;41-20;41
13;344;cashier;41-2011;41-20;41
14;395;licensed agent;41-3021;41-30;41
15;395;general manager;11-1021;11-10;11
16;395;sales;41-2031;41-20;41
17;395;sales;41-2031;41-20;41
18;395;analyst consultant;13-1111;13-10;13
19;395;owner ceo;11-1011;11-10;11
20;415;senior customer financial services representative;41-3031;41-30;41
21;415;customer services representative;43-4051;43-40;43
22;415;sales copy center associate;41-2031;41-20;41
23;415;desk clerk;43-4081;43-40;43
24;437;rn floor nurse medical oncology;29-1141;29-10;29
25;437;registered nurse;29-1141;29-10;29
26;437;customer service agent;43-4051;43-40;43
27;483;accountant;13-2011;13-20;13
28;483;staff account purchasing manager;11-3061;11-30;11
29;483;staff accountant;13-2011;13-20;13
30;483;internal auditor credit corporation director;11-3031;11-30;11
31;496;quality control inspector;51-9061;51-90;51
32;496;rotomolder dagger oven supervisor;51-1011;51-10;51
33;496;certified heavy equipment operator;47-2073;47-20;47
34;496;equipment operator truck driver;53-3032;53-30;53
35;524;district manager;11-1021;11-10;11
36;524;general manager;11-1021;11-10;11
37;524;area general manager;11-1021;11-10;11
38;524;operations manager;11-1021;11-10;11
39;534;sr helpdesk representative;15-1232;15-12;15
40;534;sr customer service representative;43-4051;43-40;43
41;534;team network engineer;15-1244;15-12;15
42;547;maintenance mechanic;49-9071;49-90;49
43;547;maintenance mechanic;49-9071;49-90;49
44;553;business specialist;13-1199;13-10;13
45;553;administration assistant;43-6014;43-60;43
46;553;office manager;43-1011;43-10;43
47;589;administrative assistant;43-6014;43-60;43
48;589;director;11-1011;11-10;11
49;589;lead cashier credit analyst;13-2041;13-20;13
50;640;manager managed care contracting sheridan healthcare;11-9111;11-90;11
51;640;contract negotiator;13-1199;13-10;13
52;640;office administrator;43-1011;43-10;43
53;644;inventory specialist;53-7065;53-70;53
54;644;sales associate;41-2031;41-20;41
55;645;forklift driver;53-7051;53-70;53
56;645;lead coordinator;43-1011;43-10;43
57;655;administrative assistant;43-6014;43-60;43
58;655;receptionist;43-4171;43-40;43
59;682;customer service representative;43-4051;43-40;43
60;682;sales associate;41-2031;41-20;41
61;682;supervisor;51-1011;51-10;51
62;744;shipping clerk;43-5071;43-50;43
63;744;bartender server;35-3011;35-30;35
64;744;asst trainer groom farm manager;11-9013;11-90;11
65;744;inventory specialist;53-7065;53-70;53
66;755;senior software engineer project leader;15-1252;15-12;15
67;755;software engineer;15-1252;15-12;15
68;755;software consultant;15-1211;15-12;15
69;769;shoe fit specialist;41-2031;41-20;41
70;769;wgci programming intern;15-1251;15-12;15
71;769;teller;43-3071;43-30;43
72;769;head cashier;41-2011;41-20;41
73;861;building manager;11-9141;11-90;11
74;861;office manager;43-1011;43-10;43
75;861;bartender;35-3011;35-30;35
76;886;delivery driver;53-3033;53-30;53
77;886;office manager chief financial officer;11-3031;11-30;11
78;886;victim witness assistance program;21-1093;21-10;21
79;908;customer experience associate;43-4051;43-40;43
80;908;customer experience associate;43-4051;43-40;43
81;908;professorial assistant;43-6014;43-60;43
82;908;professorial assistant;43-6014;43-60;43
83;966;patient care coordinator rn case manager;29-1141;29-10;29
84;966;rn med tele pcu;29-1141;29-10;29
85;966;private duty lpn rn;29-2061;29-20;29
86;966;private duty lpn;29-2061;29-20;29
87;966;home health nurse lpn;29-2061;29-20;29
88;966;staff lpn;29-2061;29-20;29
89;1031;senior loan officer;13-2072;13-20;13
90;1031;personal trainer sales consultant;13-1151;13-10;13
91;1045;security guard;33-9032;33-90;33
92;1045;truck driver;53-3032;53-30;53
93;1045;truck driver;53-3032;53-30;53
94;1045;driver;53-3032;53-30;53
95;1113;assistant;43-6014;43-60;43
96;1113;waitress;35-3031;35-30;35
97;1138;pharmacy sales associate;41-2031;41-20;41
98;1138;order management customer service;43-1011;43-10;43
99;1138;pickle line assistant manual laborer;51-9198;51-90;51
100;1192;marketing intern;13-1161;13-10;13
101;1192;assistant;43-6014;43-60;43
102;1192;retail assistant;41-1011;41-10;41
103;1192;data entry;43-9021;43-90;43
104;1192;cashier;41-2011;41-20;41
105;1206;executive assistant;43-6011;43-60;43
106;1206;executive assistant;43-6011;43-60;43
107;1206;promptly efficiently prepared required monthly documentation supervisor;43-1011;43-10;43
108;1226;lpn staff nurse;29-2061;29-20;29
109;1226;mis records supervisor;43-1011;43-10;43
110;1226;office manager;43-1011;43-10;43
111;1226;cpa mba;13-2011;13-20;13
112;1226;relief charge nurse;29-1141;29-10;29
113;1226;skilled unit staff nurse;29-1141;29-10;29
114;1355;glazier;47-2121;47-20;47
115;1355;glazier;47-2121;47-20;47
116;1374;warehouse assistant;53-7065;53-70;53
117;1374;fork lift operator;53-7051;53-70;53
118;1374;security guard;33-9032;33-90;33
119;1374;sales clerk;41-2031;41-20;41
120;1486;server;35-3031;35-30;35
121;1486;cashier;41-2011;41-20;41
122;1541;customer service;43-4051;43-40;43
123;1541;customer service;43-4051;43-40;43
124;1541;office manager loan processor;43-1011;43-10;43
125;1541;marketing manager;11-2021;11-20;11
126;1541;marketing manager;11-2021;11-20;11
127;1541;machine shop precious metals scheduling;51-1011;51-10;51
128;1563;benefits administrator;13-1141;13-10;13
129;1563;data entry clerk;43-9021;43-90;43
130;1563;senior claims examiner;13-1031;13-10;13
131;1563;claims manager rate clerk dispatcher;29-2072;29-20;29
132;1610;audit accounting assistance;43-3031;43-30;43
133;1610;audit assistance;13-2011;13-20;13
134;1610;audit accounting assistance;43-3031;43-30;43
135;1610;audit accounting articles;13-2011;13-20;13
136;1645;data analyst;13-1111;13-10;13
137;1645;senior data entry specialist accounts receivable;43-3031;43-30;43
138;1645;office assistant records coordinator assistant;43-6014;43-60;43
139;1645;customer service representative;43-4051;43-40;43
140;1769;sales support;41-4012;41-40;41
141;1769;purchasing claims representative;43-4051;43-40;43
142;1769;customer service supervisor;43-1011;43-10;43
143;1769;property manager;11-9141;11-90;11
144;1769;level associate;41-2031;41-20;41
145;1769;office assistant;43-6014;43-60;43
146;1800;general manager;11-1021;11-10;11
147;1800;director operations;11-1021;11-10;11
148;2003;picker packer;53-7064;53-70;53
149;2003;warehouse worker;53-7062;53-70;53
150;2017;sr project manager;13-1082;13-10;13
