;UserID;JobTitle;DetailedOccupation;MinorGroup;MajorGroup;Combined_EmploymentItems;Num_EmploymentItems
1;72;['elderly caregiver', 'department assistant department'];['31-1122', '43-6014'];['31-10', '43-60'];['31', '43'];[('31-1122', '31-10', '31', 'elderly caregiver'), ('43-6014', '43-60', '43', 'department assistant department')];2
2;131;['data analyst', 'assistant business analyst'];['13-1111', '13-1161'];['13-10', '13-10'];['13', '13'];[('13-1111', '13-10', '13', 'data analyst'), ('13-1161', '13-10', '13', 'assistant business analyst')];2
3;162;['treasurer', 'secretary', 'salon manager'];['11-3031', '43-6014', '11-9179'];['11-30', '43-60', '11-90'];['11', '43', '11'];[('11-3031', '11-30', '11', 'treasurer'), ('43-6014', '43-60', '43', 'secretary'), ('11-9179', '11-90', '11', 'salon manager')];3
4;178;['materials manager', 'purchasing manager', 'purchasing agent', 'purchasing agent'];['11-3061', '11-3061', '13-1023', '13-1023'];['11-30', '11-30', '13-10', '13-10'];['11', '11', '13', '13'];[('11-3061', '11-30', '11', 'materials manager'), ('11-3061', '11-30', '11', 'purchasing manager'), ('13-1023', '13-10', '13', 'purchasing agent'), ('13-1023', '13-10', '13', 'purchasing agent')];4
6;344;['restaurant server', 'cashier', 'cashier'];['35-3031', '41-2011', '41-2011'];['35-30', '41-20', '41-20'];['35', '41', '41'];[('35-3031', '35-30', '35', 'restaurant server'), ('41-2011', '41-20', '41', 'cashier'), ('41-2011', '41-20', '41', 'cashier')];3
7;395;['licensed agent', 'general manager', 'sales', 'sales', 'analyst consultant', 'owner ceo'];['41-3021', '11-1021', '41-2031', '41-2031', '13-1111', '11-1011'];['41-30', '11-10', '41-20', '41-20', '13-10', '11-10'];['41', '11', '41', '41', '13', '11'];[('41-3021', '41-30', '41', 'licensed agent'), ('11-1021', '11-10', '11', 'general manager'), ('41-2031', '41-20', '41', 'sales'), ('41-2031', '41-20', '41', 'sales'), ('13-1111', '13-10', '13', 'analyst consultant'), ('11-1011', '11-10', '11', 'owner ceo')];6
8;415;['senior customer financial services representative', 'customer services representative', 'sales copy center associate', 'desk clerk'];['41-3031', '43-4051', '41-2031', '43-4081'];['41-30', '43-40', '41-20', '43-40'];['41', '43', '41', '43'];[('41-3031', '41-30', '41', 'senior customer financial services representative'), ('43-4051', '43-40', '43', 'customer services representative'), ('41-2031', '41-20', '41', 'sales copy center associate'), ('43-4081', '43-40', '43', 'desk clerk')];4
9;437;['rn floor nurse medical oncology', 'registered nurse', 'customer service agent'];['29-1141', '29-1141', '43-4051'];['29-10', '29-10', '43-40'];['29', '29', '43'];[('29-1141', '29-10', '29', 'rn floor nurse medical oncology'), ('29-1141', '29-10', '29', 'registered nurse'), ('43-4051', '43-40', '43', 'customer service agent')];3
10;483;['accountant', 'staff account purchasing manager', 'staff accountant', 'internal auditor credit corporation director'];['13-2011', '11-3061', '13-2011', '11-3031'];['13-20', '11-30', '13-20', '11-30'];['13', '11', '13', '11'];[('13-2011', '13-20', '13', 'accountant'), ('11-3061', '11-30', '11', 'staff account purchasing manager'), ('13-2011', '13-20', '13', 'staff accountant'), ('11-3031', '11-30', '11', 'internal auditor credit corporation director')];4
11;496;['quality control inspector', 'rotomolder dagger oven supervisor', 'certified heavy equipment operator', 'equipment operator truck driver'];['51-9061', '51-1011', '47-2073', '53-3032'];['51-90', '51-10', '47-20', '53-30'];['51', '51', '47', '53'];[('51-9061', '51-90', '51', 'quality control inspector'), ('51-1011', '51-10', '51', 'rotomolder dagger oven supervisor'), ('47-2073', '47-20', '47', 'certified heavy equipment operator'), ('53-3032', '53-30', '53', 'equipment operator truck driver')];4
12;524;['district manager', 'general manager', 'area general manager', 'operations manager'];['11-1021', '11-1021', '11-1021', '11-1021'];['11-10', '11-10', '11-10', '11-10'];['11', '11', '11', '11'];[('11-1021', '11-10', '11', 'district manager'), ('11-1021', '11-10', '11', 'general manager'), ('11-1021', '11-10', '11', 'area general manager'), ('11-1021', '11-10', '11', 'operations manager')];4
13;534;['sr helpdesk representative', 'sr customer service representative', 'team network engineer'];['15-1232', '43-4051', '15-1244'];['15-12', '43-40', '15-12'];['15', '43', '15'];[('15-1232', '15-12', '15', 'sr helpdesk representative'), ('43-4051', '43-40', '43', 'sr customer service representative'), ('15-1244', '15-12', '15', 'team network engineer')];3
14;547;['maintenance mechanic', 'maintenance mechanic'];['49-9071', '49-9071'];['49-90', '49-90'];['49', '49'];[('49-9071', '49-90', '49', 'maintenance mechanic'), ('49-9071', '49-90', '49', 'maintenance mechanic')];2
15;553;['business specialist', 'administration assistant', 'office manager'];['13-1199', '43-6014', '43-1011'];['13-10', '43-60', '43-10'];['13', '43', '43'];[('13-1199', '13-10', '13', 'business specialist'), ('43-6014', '43-60', '43', 'administration assistant'), ('43-1011', '43-10', '43', 'office manager')];3
17;589;['administrative assistant', 'director', 'lead cashier credit analyst'];['43-6014', '11-1011', '13-2041'];['43-60', '11-10', '13-20'];['43', '11', '13'];[('43-6014', '43-60', '43', 'administrative assistant'), ('11-1011', '11-10', '11', 'director'), ('13-2041', '13-20', '13', 'lead cashier credit analyst')];3
18;640;['manager managed care contracting sheridan healthcare', 'contract negotiator', 'office administrator'];['11-9111', '13-1199', '43-1011'];['11-90', '13-10', '43-10'];['11', '13', '43'];[('11-9111', '11-90', '11', 'manager managed care contracting sheridan healthcare'), ('13-1199', '13-10', '13', 'contract negotiator'), ('43-1011', '43-10', '43', 'office administrator')];3
19;644;['inventory specialist', 'sales associate'];['53-7065', '41-2031'];['53-70', '41-20'];['53', '41'];[('53-7065', '53-70', '53', 'inventory specialist'), ('41-2031', '41-20', '41', 'sales associate')];2
20;645;['forklift driver', 'lead coordinator'];['53-7051', '43-1011'];['53-70', '43-10'];['53', '43'];[('53-7051', '53-70', '53', 'forklift driver'), ('43-1011', '43-10', '43', 'lead coordinator')];2
21;655;['administrative assistant', 'receptionist'];['43-6014', '43-4171'];['43-60', '43-40'];['43', '43'];[('43-6014', '43-60', '43', 'administrative assistant'), ('43-4171', '43-40', '43', 'receptionist')];2
22;682;['customer service representative', 'sales associate', 'supervisor'];['43-4051', '41-2031', '51-1011'];['43-40', '41-20', '51-10'];['43', '41', '51'];[('43-4051', '43-40', '43', 'customer service representative'), ('41-2031', '41-20', '41', 'sales associate'), ('51-1011', '51-10', '51', 'supervisor')];3
23;744;['shipping clerk', 'bartender server', 'asst trainer groom farm manager', 'inventory specialist'];['43-5071', '35-3011', '11-9013', '53-7065'];['43-50', '35-30', '11-90', '53-70'];['43', '35', '11', '53'];[('43-5071', '43-50', '43', 'shipping clerk'), ('35-3011', '35-30', '35', 'bartender server'), ('11-9013', '11-90', '11', 'asst trainer groom farm manager'), ('53-7065', '53-70', '53', 'inventory specialist')];4
24;755;['senior software engineer project leader', 'software engineer', 'software consultant'];['15-1252', '15-1252', '15-1211'];['15-12', '15-12', '15-12'];['15', '15', '15'];[('15-1252', '15-12', '15', 'senior software engineer project leader'), ('15-1252', '15-12', '15', 'software engineer'), ('15-1211', '15-12', '15', 'software consultant')];3
26;769;['shoe fit specialist', 'wgci programming intern', 'teller', 'head cashier'];['41-2031', '15-1251', '43-3071', '41-2011'];['41-20', '15-12', '43-30', '41-20'];['41', '15', '43', '41'];[('41-2031', '41-20', '41', 'shoe fit specialist'), ('15-1251', '15-12', '15', 'wgci programming intern'), ('43-3071', '43-30', '43', 'teller'), ('41-2011', '41-20', '41', 'head cashier')];4
27;861;['building manager', 'office manager', 'bartender'];['11-9141', '43-1011', '35-3011'];['11-90', '43-10', '35-30'];['11', '43', '35'];[('11-9141', '11-90', '11', 'building manager'), ('43-1011', '43-10', '43', 'office manager'), ('35-3011', '35-30', '35', 'bartender')];3
28;886;['delivery driver', 'office manager chief financial officer', 'victim witness assistance program'];['53-3033', '11-3031', '21-1093'];['53-30', '11-30', '21-10'];['53', '11', '21'];[('53-3033', '53-30', '53', 'delivery driver'), ('11-3031', '11-30', '11', 'office manager chief financial officer'), ('21-1093', '21-10', '21', 'victim witness assistance program')];3
29;908;['customer experience associate', 'customer experience associate', 'professorial assistant', 'professorial assistant'];['43-4051', '43-4051', '43-6014', '43-6014'];['43-40', '43-40', '43-60', '43-60'];['43', '43', '43', '43'];[('43-4051', '43-40', '43', 'customer experience associate'), ('43-4051', '43-40', '43', 'customer experience associate'), ('43-6014', '43-60', '43', 'professorial assistant'), ('43-6014', '43-60', '43', 'professorial assistant')];4
31;966;['patient care coordinator rn case manager', 'rn med tele pcu', 'private duty lpn rn', 'private duty lpn', 'home health nurse lpn', 'staff lpn'];['29-1141', '29-1141', '29-2061', '29-2061', '29-2061', '29-2061'];['29-10', '29-10', '29-20', '29-20', '29-20', '29-20'];['29', '29', '29', '29', '29', '29'];[('29-1141', '29-10', '29', 'patient care coordinator rn case manager'), ('29-1141', '29-10', '29', 'rn med tele pcu'), ('29-2061', '29-20', '29', 'private duty lpn rn'), ('29-2061', '29-20', '29', 'private duty lpn'), ('29-2061', '29-20', '29', 'home health nurse lpn'), ('29-2061', '29-20', '29', 'staff lpn')];6
33;1031;['senior loan officer', 'personal trainer sales consultant'];['13-2072', '13-1151'];['13-20', '13-10'];['13', '13'];[('13-2072', '13-20', '13', 'senior loan officer'), ('13-1151', '13-10', '13', 'personal trainer sales consultant')];2
34;1045;['security guard', 'truck driver', 'truck driver', 'driver'];['33-9032', '53-3032', '53-3032', '53-3032'];['33-90', '53-30', '53-30', '53-30'];['33', '53', '53', '53'];[('33-9032', '33-90', '33', 'security guard'), ('53-3032', '53-30', '53', 'truck driver'), ('53-3032', '53-30', '53', 'truck driver'), ('53-3032', '53-30', '53', 'driver')];4
35;1113;['assistant', 'waitress'];['43-6014', '35-3031'];['43-60', '35-30'];['43', '35'];[('43-6014', '43-60', '43', 'assistant'), ('35-3031', '35-30', '35', 'waitress')];2
36;1138;['pharmacy sales associate', 'order management customer service', 'pickle line assistant manual laborer'];['41-2031', '43-1011', '51-9198'];['41-20', '43-10', '51-90'];['41', '43', '51'];[('41-2031', '41-20', '41', 'pharmacy sales associate'), ('43-1011', '43-10', '43', 'order management customer service'), ('51-9198', '51-90', '51', 'pickle line assistant manual laborer')];3
37;1192;['marketing intern', 'assistant', 'retail assistant', 'data entry', 'cashier'];['13-1161', '43-6014', '41-1011', '43-9021', '41-2011'];['13-10', '43-60', '41-10', '43-90', '41-20'];['13', '43', '41', '43', '41'];[('13-1161', '13-10', '13', 'marketing intern'), ('43-6014', '43-60', '43', 'assistant'), ('41-1011', '41-10', '41', 'retail assistant'), ('43-9021', '43-90', '43', 'data entry'), ('41-2011', '41-20', '41', 'cashier')];5
38;1206;['executive assistant', 'executive assistant', 'promptly efficiently prepared required monthly documentation supervisor'];['43-6011', '43-6011', '43-1011'];['43-60', '43-60', '43-10'];['43', '43', '43'];[('43-6011', '43-60', '43', 'executive assistant'), ('43-6011', '43-60', '43', 'executive assistant'), ('43-1011', '43-10', '43', 'promptly efficiently prepared required monthly documentation supervisor')];3
39;1226;['lpn staff nurse', 'mis records supervisor', 'office manager', 'cpa mba', 'relief charge nurse', 'skilled unit staff nurse'];['29-2061', '43-1011', '43-1011', '13-2011', '29-1141', '29-1141'];['29-20', '43-10', '43-10', '13-20', '29-10', '29-10'];['29', '43', '43', '13', '29', '29'];[('29-2061', '29-20', '29', 'lpn staff nurse'), ('43-1011', '43-10', '43', 'mis records supervisor'), ('43-1011', '43-10', '43', 'office manager'), ('13-2011', '13-20', '13', 'cpa mba'), ('29-1141', '29-10', '29', 'relief charge nurse'), ('29-1141', '29-10', '29', 'skilled unit staff nurse')];6
40;1355;['glazier', 'glazier'];['47-2121', '47-2121'];['47-20', '47-20'];['47', '47'];[('47-2121', '47-20', '47', 'glazier'), ('47-2121', '47-20', '47', 'glazier')];2
41;1374;['warehouse assistant', 'fork lift operator', 'security guard', 'sales clerk'];['53-7065', '53-7051', '33-9032', '41-2031'];['53-70', '53-70', '33-90', '41-20'];['53', '53', '33', '41'];[('53-7065', '53-70', '53', 'warehouse assistant'), ('53-7051', '53-70', '53', 'fork lift operator'), ('33-9032', '33-90', '33', 'security guard'), ('41-2031', '41-20', '41', 'sales clerk')];4
42;1486;['server', 'cashier'];['35-3031', '41-2011'];['35-30', '41-20'];['35', '41'];[('35-3031', '35-30', '35', 'server'), ('41-2011', '41-20', '41', 'cashier')];2
43;1541;['customer service', 'customer service', 'office manager loan processor', 'marketing manager', 'marketing manager', 'machine shop precious metals scheduling'];['43-4051', '43-4051', '43-1011', '11-2021', '11-2021', '51-1011'];['43-40', '43-40', '43-10', '11-20', '11-20', '51-10'];['43', '43', '43', '11', '11', '51'];[('43-4051', '43-40', '43', 'customer service'), ('43-4051', '43-40', '43', 'customer service'), ('43-1011', '43-10', '43', 'office manager loan processor'), ('11-2021', '11-20', '11', 'marketing manager'), ('11-2021', '11-20', '11', 'marketing manager'), ('51-1011', '51-10', '51', 'machine shop precious metals scheduling')];6
44;1563;['benefits administrator', 'data entry clerk', 'senior claims examiner', 'claims manager rate clerk dispatcher'];['13-1141', '43-9021', '13-1031', '29-2072'];['13-10', '43-90', '13-10', '29-20'];['13', '43', '13', '29'];[('13-1141', '13-10', '13', 'benefits administrator'), ('43-9021', '43-90', '43', 'data entry clerk'), ('13-1031', '13-10', '13', 'senior claims examiner'), ('29-2072', '29-20', '29', 'claims manager rate clerk dispatcher')];4
45;1610;['audit accounting assistance', 'audit assistance', 'audit accounting assistance', 'audit accounting articles'];['43-3031', '13-2011', '43-3031', '13-2011'];['43-30', '13-20', '43-30', '13-20'];['43', '13', '43', '13'];[('43-3031', '43-30', '43', 'audit accounting assistance'), ('13-2011', '13-20', '13', 'audit assistance'), ('43-3031', '43-30', '43', 'audit accounting assistance'), ('13-2011', '13-20', '13', 'audit accounting articles')];4
46;1645;['data analyst', 'senior data entry specialist accounts receivable', 'office assistant records coordinator assistant', 'customer service representative'];['13-1111', '43-3031', '43-6014', '43-4051'];['13-10', '43-30', '43-60', '43-40'];['13', '43', '43', '43'];[('13-1111', '13-10', '13', 'data analyst'), ('43-3031', '43-30', '43', 'senior data entry specialist accounts receivable'), ('43-6014', '43-60', '43', 'office assistant records coordinator assistant'), ('43-4051', '43-40', '43', 'customer service representative')];4
50;1769;['sales support', 'purchasing claims representative', 'customer service supervisor', 'property manager', 'level associate', 'office assistant'];['41-4012', '43-4051', '43-1011', '11-9141', '41-2031', '43-6014'];['41-40', '43-40', '43-10', '11-90', '41-20', '43-60'];['41', '43', '43', '11', '41', '43'];[('41-4012', '41-40', '41', 'sales support'), ('43-4051', '43-40', '43', 'purchasing claims representative'), ('43-1011', '43-10', '43', 'customer service supervisor'), ('11-9141', '11-90', '11', 'property manager'), ('41-2031', '41-20', '41', 'level associate'), ('43-6014', '43-60', '43', 'office assistant')];6
53;1800;['general manager', 'director operations'];['11-1021', '11-1021'];['11-10', '11-10'];['11', '11'];[('11-1021', '11-10', '11', 'general manager'), ('11-1021', '11-10', '11', 'director operations')];2
57;2003;['picker packer', 'warehouse worker'];['53-7064', '53-7062'];['53-70', '53-70'];['53', '53'];[('53-7064', '53-70', '53', 'picker packer'), ('53-7062', '53-70', '53', 'warehouse worker')];2
58;2017;['sr project manager', 'superintendant pm'];['13-1082', '11-9021'];['13-10', '11-90'];['13', '11'];[('13-1082', '13-10', '13', 'sr project manager'), ('11-9021', '11-90', '11', 'superintendant pm')];2
59;2032;['clinical social worker', 'representative velez professional services'];['21-1023', '29-2099'];['21-10', '29-20'];['21', '29'];[('21-1023', '21-10', '21', 'clinical social worker'), ('29-2099', '29-20', '29', 'representative velez professional services')];2
62;2166;['certified medical assistant dermatology', 'office supervisor events coordinator', 'medical assistant ob gyn', 'medical assistant', 'medical assistant hst lab assistant'];['31-9092', '43-1011', '31-9092', '31-9092', '31-9092'];['31-90', '43-10', '31-90', '31-90', '31-90'];['31', '43', '31', '31', '31'];[('31-9092', '31-90', '31', 'certified medical assistant dermatology'), ('43-1011', '43-10', '43', 'office supervisor events coordinator'), ('31-9092', '31-90', '31', 'medical assistant ob gyn'), ('31-9092', '31-90', '31', 'medical assistant'), ('31-9092', '31-90', '31', 'medical assistant hst lab assistant')];5
63;2203;['accounts receivable clerk', 'bookkeeper', 'customer service rep'];['43-3031', '43-3031', '43-4051'];['43-30', '43-30', '43-40'];['43', '43', '43'];[('43-3031', '43-30', '43', 'accounts receivable clerk'), ('43-3031', '43-30', '43', 'bookkeeper'), ('43-4051', '43-40', '43', 'customer service rep')];3
65;2241;['quality control manager', 'quality assurance manager', 'quality control inspector pdi technician'];['11-3051', '11-3051', '51-9061'];['11-30', '11-30', '51-90'];['11', '11', '51'];[('11-3051', '11-30', '11', 'quality control manager'), ('11-3051', '11-30', '11', 'quality assurance manager'), ('51-9061', '51-90', '51', 'quality control inspector pdi technician')];3
