UserID;WindowID;Split;Sequence;JobTitle;JobTitle_token;Code;Code_lb;Score;JobTitle_token_new;Score_new;MajorGroup;MinorGroup;DetailedOccupation
47;1;Train;1;National Space Communication Programs-Special Program Supervisor;national space communication programs special program supervisor;15-1251;Computer Programmers;62.0;national space communication programs special program supervisor;62.0;15;15-12;15-1251
47;1;Train;2;Detention Officer;detention officer;33-3012;Correctional Officers and Jailers;99.0;detention officer;99.0;33;33-30;33-3012
47;1;Train;3;Passenger Screener, TSA;passenger screener tsa;33-9093;Transportation Security Screeners;92.0;passenger screener tsa;92.0;33;33-90;33-9093
72;1;Train;1;Lecturer, Department of Anthropology;lecturer department anthropology;25-1061;Anthropology and Archeology Teachers, Postsecondary;87.0;lecturer department anthropology;87.0;25;25-10;25-1061
72;1;Train;2;Student Assistant;student assistant;25-9044;Teaching Assistants, Postsecondary;66.0;student assistant;66.0;25;25-90;25-9044
72;1;Train;3;Elderly Caregiver;elderly caregiver;31-1122;Personal Care Aides;90.0;elderly caregiver;90.0;31;31-10;31-1122
72;1;Train;5;Department Assistant, Department;department assistant department;43-6014;Secretaries and Administrative Assistants, Except Legal, Medical, and Executive;81.0;department assistant department;81.0;43;43-60;43-6014
72;1;Train;6;Book Reviews Editorial Assistant;book reviews editorial assistant;27-3041;Editors;88.0;book reviews editorial assistant;88.0;27;27-30;27-3041
72;1;Train;7;Graduate Assistant;graduate assistant;25-9044;Teaching Assistants, Postsecondary;91.0;graduate assistant;91.0;25;25-90;25-9044
72;1;Train;9;Research Assistant;research assistant;13-1161;Market Research Analysts and Marketing Specialists;67.0;research assistant;67.0;13;13-10;13-1161
72;1;Train;10;Docent, C.E. Smith Museum of Anthropology, California;docent c.e. smith museum anthropology california;39-7011;Tour Guides and Escorts;75.0;docent c.e. smith museum anthropology california;75.0;39;39-70;39-7011
80;1;Train;1;Auto Publishing/Electro Mechanical Technician, AP/EMT;auto publishing electro mechanical technician ap emt;17-3024;Electro-Mechanical and Mechatronics Technologists and Technicians;72.0;auto publishing electro mechanical technician ap emt;72.0;17;17-30;17-3024
80;1;Train;2;Enhanced Baker Cell Technician, EBC Technician;enhanced baker cell technician ebc technician;19-4021;Biological Technicians;72.0;enhanced baker cell technician ebc technician;72.0;19;19-40;19-4021
80;1;Train;3;Lead was  was also given the position as Drug Move Coordinator;lead given position drug coordinator;21-1093;Social and Human Service Assistants;66.0;lead given position drug coordinator;66.0;21;21-10;21-1093
80;1;Train;4;Sales Associate, Installer;sales associate installer;41-3021;Insurance Sales Agents;65.0;sales associate installer;65.0;41;41-30;41-3021
80;1;Train;5;Enhanced Baker Cell Technician, EBC Technician;enhanced baker cell technician ebc technician;19-4021;Biological Technicians;72.0;enhanced baker cell technician ebc technician;72.0;19;19-40;19-4021
98;1;Train;1;Editor-in-Chief;editor chief;27-3041;Editors;91.0;editor chief;91.0;27;27-30;27-3041
98;1;Train;2;Deputy Sports & Website Editor;deputy sports website editor;27-3041;Editors;67.0;deputy sports website editor;67.0;27;27-30;27-3041
98;1;Train;3;Author;author;27-3043;Writers and Authors;69.0;author;69.0;27;27-30;27-3043
123;1;Train;1;Lead Hostess and Takeout Server;lead hostess takeout server;35-3041;Food Servers, Nonrestaurant;63.0;lead hostess takeout server;63.0;35;35-30;35-3041
131;1;Train;1;Data Analyst;data analyst;13-1111;Management Analysts;94.0;data analyst;94.0;13;13-10;13-1111
131;1;Train;2;Assistant Business Analyst;assistant business analyst;13-1161;Market Research Analysts and Marketing Specialists;81.0;assistant business analyst;81.0;13;13-10;13-1161
131;1;Train;3;Financial Form Specialist;financial form specialist;13-2099;Financial Specialists, All Other;61.0;financial form specialist;61.0;13;13-20;13-2099
162;1;Train;1;Student Assistant;student assistant;25-9044;Teaching Assistants, Postsecondary;66.0;student assistant;66.0;25;25-90;25-9044
162;1;Train;2;Graduate Assistant;graduate assistant;25-9044;Teaching Assistants, Postsecondary;91.0;graduate assistant;91.0;25;25-90;25-9044
162;1;Train;3;Treasurer;treasurer;11-3031;Financial Managers;94.0;treasurer;94.0;11;11-30;11-3031
162;1;Train;4;Owner;owner;99-9999;Not Classified;91.0;owner;91.0;99;99-90;99-9999
162;1;Train;5;Reconciliation Specialist/Visa Service;reconciliation specialist visa service;43-3021;Billing and Posting Clerks;65.0;reconciliation specialist visa service;65.0;43;43-30;43-3021
162;1;Train;6;Assistant Manager;assistant manager;41-1011;First-Line Supervisors of Retail Sales Workers;67.0;assistant manager;67.0;41;41-10;41-1011
162;1;Train;7;Temporary Job;temporary job;13-1071;Human Resources Specialists;68.0;temporary job;68.0;13;13-10;13-1071
162;1;Train;8;Secretary;secretary;43-6014;Secretaries and Administrative Assistants, Except Legal, Medical, and Executive;90.0;secretary;90.0;43;43-60;43-6014
162;1;Train;9;A/R, Administrators Assistant;r administrators assistant;43-6011;Executive Secretaries and Executive Administrative Assistants;69.0;r administrators assistant;69.0;43;43-60;43-6011
162;1;Train;10;Salon Manager;salon manager;11-9179;Personal Service Managers, All Other;75.0;salon manager;75.0;11;11-90;11-9179
178;1;Train;1;CHEMICAL MANAGER;chemical manager;11-1021;General and Operations Managers;69.0;chemical manager;69.0;11;11-10;11-1021
178;1;Train;2;Chemical Management Company Specializing in the Aviation Industry;chemical management company specializing aviation industry;11-9041;Architectural and Engineering Managers;63.0;chemical management company specializing aviation industry;63.0;11;11-90;11-9041
178;1;Train;3;MATERIALS MANAGER;materials manager;11-3061;Purchasing Managers;85.0;materials manager;85.0;11;11-30;11-3061
178;1;Train;4;PURCHASING MANAGER;purchasing manager;11-3061;Purchasing Managers;90.0;purchasing manager;90.0;11;11-30;11-3061
178;1;Train;5;PURCHASING AGENT;purchasing agent;13-1023;Purchasing Agents, Except Wholesale, Retail, and Farm Products;85.0;purchasing agent;85.0;13;13-10;13-1023
178;1;Train;6;PURCHASING AGENT;purchasing agent;13-1023;Purchasing Agents, Except Wholesale, Retail, and Farm Products;85.0;purchasing agent;85.0;13;13-10;13-1023
203;1;Train;1;Lab Research Assistant;lab research assistant;19-4021;Biological Technicians;72.0;lab research assistant;72.0;19;19-40;19-4021
203;1;Train;2;Orientation Leader;orientation leader;99-9999;Not Classified;53.0;orientation leader;53.0;99;99-90;99-9999
203;1;Train;3;Member of Virtual Machine Project;member virtual machine project;51-9161;Computer Numerically Controlled Tool Operators;63.0;member virtual machine project;63.0;51;51-90;51-9161
203;1;Train;4;Software Development Internship;software development internship;15-1251;Computer Programmers;81.0;software development internship;81.0;15;15-12;15-1251
344;1;Train;1;Restaurant Server;restaurant server;35-3031;Waiters and Waitresses;99.0;restaurant server;99.0;35;35-30;35-3031
344;1;Train;2;Cashier;cashier;41-2011;Cashiers;99.0;cashier;99.0;41;41-20;41-2011
344;1;Train;3;Cashier;cashier;41-2011;Cashiers;99.0;cashier;99.0;41;41-20;41-2011
395;1;Train;1;Licensed Agent;licensed agent;41-3021;Insurance Sales Agents;73.0;licensed agent;73.0;41;41-30;41-3021
395;1;Train;2;General Manager;general manager;11-1021;General and Operations Managers;99.0;general manager;99.0;11;11-10;11-1021
395;1;Train;3;administration, and installation, scheduling and sales;administration installation scheduling sales;43-9199;Office and Administrative Support Workers, All Other;59.0;administration installation scheduling sales;59.0;43;43-90;43-9199
395;1;Train;5;Sales;sales;41-2031;Retail Salespersons;83.0;sales;83.0;41;41-20;41-2031
395;1;Train;6;Sales;sales;41-2031;Retail Salespersons;83.0;sales;83.0;41;41-20;41-2031
395;1;Train;7;Analyst and Consultant;analyst consultant;13-1111;Management Analysts;82.0;analyst consultant;82.0;13;13-10;13-1111
395;1;Train;8;Owner and CEO;owner ceo;11-1011;Chief Executives;76.0;owner ceo;76.0;11;11-10;11-1011
411;1;Train;1;Lead Technician;lead technician;19-4044;Hydrologic Technicians;65.0;lead technician;65.0;19;19-40;19-4044
411;1;Train;2;Mechanical Technician;mechanical technician;17-3027;Mechanical Engineering Technologists and Technicians;73.0;mechanical technician;73.0;17;17-30;17-3027
411;1;Train;3;Service Technician;service technician;49-3023;Automotive Service Technicians and Mechanics;68.0;service technician;68.0;49;49-30;49-3023
415;1;Train;1;Senior Customer Financial Services Representative;senior customer financial services representative;41-3031;Securities, Commodities, and Financial Services Sales Agents;81.0;senior customer financial services representative;81.0;41;41-30;41-3031
415;1;Train;2;Customer Services Representative;customer services representative;43-4051;Customer Service Representatives;97.0;customer services representative;97.0;43;43-40;43-4051
415;1;Train;3;Sales/Copy Center Associate;sales copy center associate;41-2031;Retail Salespersons;73.0;sales copy center associate;73.0;41;41-20;41-2031
